OLMo-7B-0724-Instruct-hf	Mistral-7B-Instruct-v0.3	Llama-3.2-3B-Instruct	gemma-2-9b-it	Qwen2.5-3B-Instruct	Qwen2.5-3B	DeepSeek-R1-Distill-Qwen-1.5B	Right-FT-Llama-3.1-8B-Instruct-DPO
18.129873275756836	19.25699234008789	54.3460578918457	44.06266403198242	32.4994010925293	23.973190307617188	90.98121643066406	763.2293090820312
22.42936134338379	22.520681381225586	68.07101440429688	60.71079635620117	44.40353012084961	33.44985580444336	118.41802978515625	1541.911865234375
16.109966278076172	16.555234909057617	48.67198944091797	44.35065841674805	27.360116958618164	20.457868576049805	63.40007781982422	352.2247009277344
22.524492263793945	19.80879020690918	63.975502014160156	51.489925384521484	33.078372955322266	25.916540145874023	110.03504943847656	496.03497314453125
13.483942985534668	13.057300567626953	32.43417739868164	24.16864776611328	20.37647819519043	15.271574020385742	57.15303421020508	184.81884765625
12.497175216674805	14.729657173156738	42.33167266845703	34.14793395996094	23.702844619750977	18.146190643310547	67.9046401977539	170.681396484375
17.052284240722656	16.50214958190918	50.6148681640625	35.07244110107422	30.26558494567871	23.825918197631836	60.14497375488281	388.7912902832031
17.56806755065918	16.80262565612793	49.21078109741211	39.26088333129883	27.580490112304688	21.694856643676758	80.6961441040039	467.64654541015625
22.976926803588867	19.177230834960938	58.735191345214844	57.308067321777344	35.52719497680664	27.409408569335938	82.62114715576172	448.82720947265625
20.964553833007812	22.635828018188477	86.28764343261719	59.80881881713867	39.81301498413086	29.631580352783203	94.20817565917969	1134.4417724609375
17.00591468811035	15.641624450683594	38.191925048828125	32.93378448486328	25.44835662841797	19.576967239379883	50.66122817993164	211.41856384277344
18.4345703125	16.588510513305664	73.0722427368164	61.813228607177734	37.80862045288086	27.96764373779297	142.00794982910156	654.9976196289062
17.41642189025879	17.352075576782227	43.850914001464844	41.217220306396484	29.653644561767578	21.249284744262695	60.504364013671875	411.88543701171875
19.640731811523438	18.488370895385742	69.81365966796875	55.79419708251953	38.17021560668945	26.23403549194336	101.56470489501953	671.7705078125
20.338546752929688	20.101619720458984	67.93848419189453	67.30934143066406	39.39232635498047	28.857309341430664	142.3058624267578	410.98260498046875
17.441429138183594	15.512479782104492	48.21217346191406	52.16793441772461	31.71465301513672	23.244007110595703	81.9576644897461	218.2015838623047
16.281461715698242	18.041488647460938	49.7713737487793	33.48897933959961	26.943939208984375	20.236478805541992	67.90827178955078	403.4149475097656
27.374921798706055	26.616165161132812	80.36893463134766	73.98860931396484	48.63201904296875	35.710838317871094	142.59503173828125	663.8197021484375
20.4823055267334	18.240989685058594	59.29518508911133	54.99538803100586	37.092445373535156	27.346881866455078	89.4560317993164	461.80682373046875
