OLMo-7B-0724-Instruct-hf	Mistral-7B-Instruct-v0.3	Llama-3.2-3B-Instruct	gemma-2-9b-it	Qwen2.5-3B-Instruct	Qwen2.5-3B	DeepSeek-R1-Distill-Qwen-1.5B	Right-FT-Llama-3.1-8B-Instruct-DPO
17.285139083862305	17.9818172454834	51.282623291015625	44.61507797241211	29.850648880004883	23.931371688842773	86.27259063720703	575.8577880859375
22.428302764892578	20.864824295043945	66.61982727050781	62.41506576538086	40.19280242919922	33.72263717651367	113.02765655517578	1184.1103515625
16.520742416381836	16.31892204284668	48.107845306396484	48.84364318847656	27.08321762084961	21.275529861450195	60.64557647705078	465.83868408203125
22.780548095703125	19.327009201049805	63.62688064575195	53.60541534423828	33.203033447265625	27.59307861328125	103.96115112304688	503.53656005859375
13.660857200622559	11.988487243652344	33.61909103393555	24.449674606323242	20.042579650878906	15.986520767211914	56.2359504699707	177.9503631591797
13.319254875183105	14.323676109313965	41.467037200927734	34.67418670654297	23.478851318359375	19.05978012084961	64.68389892578125	196.726806640625
17.061731338500977	15.66330337524414	51.4100227355957	38.92695236206055	31.66427993774414	24.916351318359375	56.55765914916992	364.6071472167969
17.268613815307617	15.581799507141113	49.09814453125	40.60905075073242	26.962818145751953	22.771331787109375	75.67810821533203	464.5773620605469
23.53514289855957	18.230363845825195	58.717464447021484	59.709625244140625	37.292442321777344	28.831005096435547	77.84239196777344	398.3748474121094
22.121652603149414	21.766094207763672	83.81901550292969	64.87491607666016	38.87260437011719	31.465158462524414	87.9146957397461	1189.835205078125
17.61915397644043	15.275503158569336	37.72227096557617	34.38711166381836	24.886409759521484	20.379741668701172	47.168121337890625	210.76409912109375
19.61195945739746	17.493356704711914	71.32359313964844	64.57659149169922	38.17045211791992	30.3748779296875	131.18516540527344	775.8204345703125
18.32573127746582	16.253854751586914	45.8276252746582	41.48933410644531	28.408794403076172	22.386754989624023	57.41693115234375	402.8672790527344
20.126300811767578	17.717832565307617	70.1151351928711	60.62808609008789	36.72966003417969	26.99925422668457	94.75614166259766	728.02880859375
20.858173370361328	19.940013885498047	69.6063003540039	69.7993392944336	43.699893951416016	31.451284408569336	136.34596252441406	399.8362121582031
17.503673553466797	14.908406257629395	47.77096939086914	53.05101013183594	32.3244743347168	24.522350311279297	78.52208709716797	250.97274780273438
16.519508361816406	17.673995971679688	48.31812286376953	33.0167350769043	25.991668701171875	21.194156646728516	64.4205322265625	530.3355712890625
27.45537567138672	24.79435157775879	82.6671371459961	74.00689697265625	49.72739028930664	38.10122299194336	136.17469787597656	828.982177734375
20.518722534179688	17.751441955566406	56.82106018066406	50.37792205810547	33.92308807373047	28.05927848815918	84.61280059814453	495.0815124511719
