Mistral-7B-Instruct-v0.3	Llama-3.2-3B-Instruct	gemma-2-9b-it	Qwen2.5-3B	Qwen2.5-3B-Instruct	OLMo-7B-0724-Instruct-hf	DeepSeek-R1-Distill-Qwen-1.5B	Right-FT-Llama-3.1-8B-Instruct-DPO
13.489978790283203	7.376222610473633	9.038627624511719	7.923598289489746	7.007802963256836	13.757185935974121	15.308300971984863	15.308300971984863
12.456442832946777	21.46508026123047	21.58953285217285	1.2918087244033813	2.1390933990478516	20.277868270874023	24.088315963745117	25.41947364807129
15.517181396484375	9.936826705932617	10.743080139160156	15.517181396484375	10.495158195495605	15.517181396484375	15.517181396484375	15.517181396484375
17.500356674194336	14.029037475585938	12.28671646118164	18.943828582763672	14.029037475585938	11.848155975341797	21.48271942138672	21.48271942138672
8.392061233520508	9.922220230102539	11.043769836425781	9.695119857788086	6.649701118469238	6.4846882820129395	5.550992012023926	9.695119857788086
9.121697425842285	4.288167953491211	6.127022743225098	11.216659545898438	8.11035442352295	11.216659545898438	6.261072635650635	11.216659545898438
14.041471481323242	16.463212966918945	16.12298011779785	18.478666305541992	16.49782943725586	1.4624251127243042	16.597728729248047	16.01070785522461
6.00797176361084	9.243539810180664	14.316434860229492	14.141438484191895	9.4595365524292	6.00797176361084	7.307816505432129	14.141438484191895
21.959728240966797	17.9341983795166	21.434070587158203	17.71685218811035	17.43214988708496	1.3046760559082031	14.762754440307617	22.05829429626465
16.436668395996094	23.19864273071289	1.3232022523880005	23.19864273071289	20.592220306396484	23.19864273071289	16.436668395996094	23.19864273071289
6.217472076416016	9.948247909545898	7.303274631500244	13.603751182556152	13.603751182556152	13.603751182556152	13.603751182556152	13.603751182556152
16.169952392578125	19.574541091918945	16.986539840698242	22.449573516845703	18.043926239013672	19.297618865966797	15.294153213500977	22.449573516845703
13.256881713867188	13.256881713867188	1.2857061624526978	18.27267837524414	14.497544288635254	18.27267837524414	11.364031791687012	18.27267837524414
15.332674980163574	15.079032897949219	9.577680587768555	11.583659172058105	15.849305152893066	2.058342218399048	20.984281539916992	20.984281539916992
19.075063705444336	19.963455200195312	10.321843147277832	1.7402125597000122	17.095426559448242	15.531645774841309	16.980649948120117	23.910297393798828
15.721863746643066	15.123260498046875	14.588651657104492	26.775365829467773	8.843896865844727	15.134903907775879	14.628277778625488	18.509681701660156
6.298169136047363	11.8910551071167	14.908915519714355	11.490588188171387	12.806718826293945	15.62233829498291	10.751105308532715	11.490588188171387
27.246749877929688	23.538408279418945	10.189027786254883	1.3453295230865479	8.163196563720703	27.246749877929688	23.538408279418945	27.246749877929688
16.63151741027832	15.211153984069824	14.975587844848633	13.271871566772461	14.617278099060059	23.581205368041992	23.581205368041992	23.581205368041992
